"0","1","2","3","4","5","6","7","0.dmax","1.q","2.q","2.dmax","3.q1","3.q2","3.dstar","4.q1","4.q2","4.dstar","4.dmax","5.dmax","5.gam","6.gamma","6.q","6.dstar","7.gamma","7.q","7.dstar","7.dmax","ISO_language","best","coll"
83963.5223373249,49717.9900244617,49719.9899586595,45460.6706897688,45461.4260632071,45444.4158101172,45248.5553620222,45248.0654139384,"-",0.488167912510512,0.488167909789098,30,0.72719329148581,0.263068020200991,3,0.727323745976018,0.262726597477959,3,30,30,2.15036348655505,2.10087532023842,0.241438156539504,5,2.10196377705175,0.240517265607885,5,30,"ara","7","PSUD"
86004.4398142789,66657.6788423677,66659.6744750977,63186.910295207,63187.7197856209,63852.3428443766,63043.1840585725,63042.5119968598,"-",0.334761572681437,0.334761517083287,39,0.618856701348616,0.219432812249865,3,0.618982659859871,0.219258774314407,3,39,39,1.75478631148504,1.57360824647158,0.199684026052506,7,1.57436429875198,0.199029470970752,7,39,"zho","7","PSUD"
67743.3718622226,43659.9015792729,43661.9013452827,42047.817717574,42049.05239076,42711.355108648,42163.917229579,42165.5779799286,"-",0.474660080481586,0.474660075004955,29,0.602294537722708,0.279239348845993,4,0.602399260352124,0.278893619808946,4,29,29,2.02696958023856,1.81385652848258,0.30618873869058,5,1.81404661382713,0.305990479782466,5,29,"ces","3","PSUD"
84874.7918665729,51867.7165331924,51869.7164456623,49859.6327517845,49859.5423048954,50894.5017862174,50293.1140157034,50294.8576588922,"-",0.472343722978906,0.472343716666178,31,0.574711387275045,0.233729663776269,5,0.574926914027367,0.232814733783423,5,31,31,2.0249950795707,1.8103353306698,0.299464557676147,5,1.81046452758642,0.299336576672435,5,31,"eng","4","PSUD"
52389.0953479064,35246.9813759032,35248.9722457673,34449.747679699,34451.0635099542,35057.0664529539,34434.132298782,34435.5447230088,"-",0.490149821455315,0.490147882893486,22,0.625198688627908,0.362190275877689,3,0.62531570794069,0.36189097513404,3,22,22,2.0070834050364,1.71505407181562,0.368894181898946,4,1.71542602384641,0.368548801649023,4,22,"fin","6","PSUD"
108312.983625054,62309.2658742315,62311.2658645444,57457.8725006026,57457.8269936272,58294.1738293098,58037.3054928737,58036.0839157236,"-",0.469654945872496,0.469654947811761,35,0.652090810905712,0.216392267637265,4,0.652267880364685,0.215870172457596,4,35,35,2.08981752144175,2.0072983141963,0.205932330025363,9,2.00823167771558,0.20423903059395,9,35,"fra","4","PSUD"
85579.6303862113,64288.9998381768,64290.9978104525,62109.9322912147,62111.0524932012,63642.4443840046,62228.6863417772,62230.2207459206,"-",0.355055452142051,0.355055452163547,38,0.523319293790109,0.228367713197313,4,0.523415737708504,0.228183690630823,4,38,38,1.7582930507388,1.48905164194848,0.244379846738326,5,1.48923140731223,0.244263385806643,5,38,"deu","3","PSUD"
106846.166514154,79000.9698534496,79002.9592097889,68777.2423777838,68760.2261985237,69539.8742105318,68494.6217344235,68482.9251912559,"-",0.329061756842962,0.329061192806883,38,0.728847322323614,0.16229838576854,3,0.729854811401214,0.160714817987975,3,38,38,1.84285104528933,2.29752784089274,0.171166181379197,3,2.30211097521167,0.169998526413977,3,38,"hin","7","PSUD"
72807.2331223757,42152.8488462382,42154.8488458076,39927.4240275297,39929.2151573905,40395.7081982017,39999.7247978771,40001.6528289072,"-",0.520956505133737,0.520956503538088,34,0.652624183676858,0.266290374278895,4,0.652656858694361,0.26616717290851,4,34,34,2.18415217606442,2.0294998623031,0.295301107171832,6,2.02954983297399,0.295228001102901,6,34,"isl","3","PSUD"
75764.582599839,45211.8286384859,45213.828397437,41927.0561098716,41927.6190585713,42004.5180984937,41809.076677285,41807.6658648875,"-",0.500153317388302,0.500153267458866,27,0.716840656633763,0.28329574559121,3,0.717001505954831,0.282854008709014,3,27,27,2.14960446751242,2.0551038451853,0.253635407084876,7,2.05643646441438,0.251368009463688,7,27,"ind","7","PSUD"
103369.77992876,59444.7103523262,59446.7103458668,55353.6631032161,55354.4887433461,56373.3762687785,56039.3465547749,56039.9282793196,"-",0.475218253877016,0.475218251658713,35,0.645133728246489,0.228811726261197,4,0.64524788030897,0.22846404188981,4,35,35,2.08652624557753,1.98133265162197,0.226279363917956,8,1.98182154599902,0.225480123333066,8,35,"ita","3","PSUD"
135293.084929135,88560.040153263,88562.0401532605,72666.8956448066,72667.0915197369,72315.8674351219,71831.0806629436,71830.805647807,"-",0.366605828213502,0.366605820459166,67,0.699090333252887,0.121006606439829,4,0.69921498824647,0.120795374499128,4,67,67,2.06047905723976,2.21768766138155,0.117311165859313,6,2.21842331094331,0.117017290337485,6,67,"jpn","7","PSUD"
64065.1714423557,49796.672245308,49798.6715798597,44509.4815376582,44508.4172660722,44683.333401636,44365.6798275679,44363.7680443492,"-",0.36993516211644,0.369935159514605,38,0.712695286116647,0.193472845854758,3,0.713012115335104,0.192924404315499,3,38,38,1.91493777255536,2.0158117700094,0.187146550630292,4,2.01767047813524,0.186390542640542,4,38,"kor","7","PSUD"
65708.232547942,40764.5553187223,40766.5551065135,38673.9836832373,38675.5045196904,39020.0283128781,38696.9833929518,38697.8611788596,"-",0.500612159978293,0.500612111181918,27,0.687814480263497,0.312807792465987,3,0.687884269354292,0.312620429660586,3,27,27,2.11246176425457,1.97018797737645,0.287219624586296,6,1.97075245971771,0.286405139239343,6,27,"pol","3","PSUD"
99155.4467245733,58440.2387004725,58442.2386821257,54380.7528309807,54381.0442664749,55149.9778565623,54846.4589953208,54846.4544680327,"-",0.468551158072393,0.468551156380148,34,0.642309675648143,0.225978847200022,4,0.642470494415916,0.225498505003639,4,34,34,2.07384069245386,1.97112012622371,0.223768854070435,8,1.97178666245321,0.222691984885732,8,34,"por","3","PSUD"
69999.1647443506,43596.9084627106,43598.9084479321,41455.2430753351,41456.7121786534,41963.3688321684,41541.3878087405,41543.1060679738,"-",0.488540642502589,0.488540640198353,32,0.628664369967251,0.261888580003924,4,0.628738920078404,0.261637619991966,4,32,32,2.09245824839499,1.93033500346844,0.28180559567063,6,1.93049398170943,0.281593473689722,6,32,"rus","3","PSUD"
100349.987613987,58907.3125574951,58909.3124377465,54617.1184356988,54614.8360066072,55351.5898894852,55105.290441297,55102.5750810869,"-",0.469055836032226,0.469055834450536,31,0.646344911953382,0.222048331086703,4,0.646694731043988,0.220984106554672,4,31,31,2.07144313489758,1.98051669901904,0.22136344307545,8,1.98187199123923,0.219121574809692,8,31,"spa","4","PSUD"
74683.0124841144,46287.5101292945,46289.510085277,44583.962023999,44585.6024313986,45399.3516048201,44815.2754340779,44817.1253999087,"-",0.482344849818856,0.482344844151904,31,0.606973489474862,0.282678475798444,4,0.607023679724682,0.282506321788964,4,31,31,2.05029144385082,1.8318334374372,0.309419078082355,5,1.8319215571213,0.309326815518292,5,31,"swe","3","PSUD"
107548.970714163,63835.181694788,63837.1816924219,57878.9960558993,57880.6759146462,57878.9470513946,57563.5183568247,57564.808925048,"-",0.45401369270183,0.454013684733105,39,0.723427499416691,0.240448670474858,3,0.7234602241613,0.24037518079574,3,39,39,2.09985413137846,2.05267614448356,0.221186097585854,5,2.0529796327665,0.220972348727178,5,39,"tha","6","PSUD"
62783.9353728592,50771.33965677,50773.3214163576,46447.8129380204,46441.8498894798,46728.259421836,46325.3038907317,46317.8499210015,"-",0.350169647367503,0.350167369964642,33,0.680483067081159,0.199415207969943,3,0.681229716510689,0.198212901043364,3,33,33,1.81840877878924,1.85918375673535,0.194256112336572,4,1.8628790868418,0.192693697897776,4,33,"tur","7","PSUD"
84577.2774810024,55188.2671485819,55190.2658377614,52010.8891319048,52011.5961811953,52263.9237323335,51865.76341327,51864.3202136257,"-",0.434493543434499,0.43449350315752,30,0.668021687811025,0.268806088590052,3,0.668160550149424,0.268515891282057,3,30,30,1.97332855890247,1.84045230930907,0.239578733947389,7,1.84156051985286,0.238082764376636,7,30,"ara","7","PUD"
86281.2914200784,68120.5507350151,68122.5422918834,65825.6387103415,65826.9360015031,67025.490571774,65736.8660687696,65737.5901494942,"-",0.323421793101648,0.323421360172871,39,0.569079484753876,0.23252395261351,3,0.569162595462995,0.232419132646072,3,39,39,1.69378370777761,1.43924640438275,0.218872651909043,6,1.43964092556587,0.218583036608097,6,39,"zho","6","PUD"
68423.9641191044,48729.1403217432,48731.1356918745,47871.6245695142,47872.326597347,49499.0670118065,48211.6900459485,48213.594271539,"-",0.41770563304312,0.41770508330332,29,0.499423924338219,0.269586215778026,5,0.499581659828267,0.268999029391246,5,29,29,1.83675884767158,1.38500130358805,0.346644554597029,3,1.38506398520027,0.346613870728526,3,29,"ces","3","PUD"
85820.841516697,60122.242798714,60124.2368465834,59401.5962849374,59402.2227881449,62649.3684236501,60054.505266601,60056.4928530253,"-",0.395405431410248,0.39540491807017,31,0.453372087769452,0.255884049429882,6,0.453509460829664,0.255254655122327,6,31,31,1.75884046097241,0.929701281167226,0.379565676373093,2,0.929710309125671,0.379563065626929,2,31,"eng","3","PUD"
52892.5505798618,38423.1592636977,38425.0566407366,37955.0167668743,37956.3295157306,38920.9932872522,37927.0543639922,37928.076369053,"-",0.445959003224397,0.445941241953596,21,0.638835186215063,0.38802932943064,2,0.562049833861674,0.359991734287853,3,21,21,1.85470042991846,1.43980157762071,0.374055591326703,3,1.44038744675744,0.373725405177939,3,21,"fin","6","PUD"
109197.299179812,71747.8102324462,71749.809682234,69419.8923095745,69417.9487913412,72291.2561630524,70944.3699810434,70946.2809539792,"-",0.396133195938595,0.396133186224687,36,0.491379162686623,0.196691462587967,6,0.491673601260177,0.195586154167322,6,36,36,1.82628825830427,1.46218531390597,0.29566472670758,4,1.4622234684888,0.295641665849311,4,36,"fra","4","PUD"
86626.0627433494,68509.9448566672,68511.9419457016,66698.7521813526,66700.2410236417,68821.3588001254,66955.3846303609,66957.0893185689,"-",0.321731162620952,0.321731157161196,42,0.485156324416872,0.221800975295451,4,0.485215443894186,0.221704752680179,4,42,42,1.67496181717215,1.35090701543735,0.234396006527717,5,1.35101926298967,0.234329505714247,5,42,"deu","3","PUD"
107388.190173206,83074.517374948,83076.5066684808,75832.0000498243,75827.9671178517,76676.1194679182,75788.0789308866,75782.4734671266,"-",0.302972583974163,0.302972202839312,42,0.671304773968658,0.174910439819283,3,0.671710084797357,0.174378530686092,3,42,42,1.73523129340926,1.79810628673228,0.169507182087261,4,1.80018387530284,0.168796149488856,4,42,"hin","7","PUD"
73751.5213468685,50241.8717358296,50243.871592539,49410.7383256765,49412.6820995637,51252.3933538622,49716.2630629301,49718.2568155163,"-",0.431729098636421,0.431729094491931,34,0.53063540891954,0.308701805286196,4,0.53064517774089,0.30867469845454,4,34,34,1.88833301452722,1.41216796603812,0.359117932590098,3,1.41217276992785,0.35911552557218,3,34,"isl","3","PUD"
76351.1646318256,50675.5076268283,50677.5028900739,48875.1235993266,48876.2034260268,49596.2261943755,48916.2945687687,48916.9867601697,"-",0.441864879638747,0.441864273782675,27,0.629460075118218,0.304662590443511,3,0.629575465136166,0.304419924098601,3,27,27,1.93488073386838,1.71318847241215,0.294683448833943,5,1.71372702357566,0.294162259655851,5,27,"ind","3","PUD"
104223.334586975,68312.6091075227,68314.6085160413,66369.6437170597,66368.5469806029,69289.087524791,67786.28590693,67788.215994362,"-",0.402925274958966,0.402925269455718,35,0.490342242362229,0.206885855360837,6,0.490590970938529,0.205889743345458,6,35,35,1.83032376245364,1.44559389773944,0.307439524171443,4,1.44562536450201,0.30741955688494,4,35,"ita","4","PUD"
135512.119495263,93745.9690423335,93747.9690422057,85221.9839217538,85221.4059066139,87112.2482781501,86524.3645748109,86524.9136107959,"-",0.3366678059618,0.336667806338012,65,0.521426527471345,0.118777123381918,6,0.521599293848403,0.118425101467213,6,65,65,1.84891711277938,1.75444994904236,0.129949620562925,13,1.75477060705949,0.129560823007076,13,65,"jpn","4","PUD"
64172.5289597738,50365.388549479,50367.3870504801,45473.7050197256,45472.322566752,45646.5389599402,45336.7174208083,45332.4114339923,"-",0.363944072695082,0.363944072695082,37,0.700216837004866,0.197129574962419,3,0.700566195802478,0.196542017600309,3,37,37,1.88564721780006,1.88594850316778,0.180069901170623,5,1.88841241469328,0.178774611363201,5,37,"kor","7","PUD"
66254.5801813403,45102.6283147299,45104.6253045717,43851.3791425867,43852.1117838373,44718.723861542,43956.0714827358,43957.6446372567,"-",0.449068005443649,0.44906758417977,27,0.569151557217575,0.287720861684092,4,0.569315451835427,0.287220394194737,4,27,27,1.93605485428362,1.65307590724746,0.323970617686038,4,1.65330620373621,0.323795579282892,4,27,"pol","3","PUD"
100042.152675845,67212.9368438666,67214.9353905315,65360.716279724,65361.0531919992,68009.8789354717,66557.1802608973,66559.0490552304,"-",0.395621959717961,0.395621954279831,34,0.503679453706458,0.23371267279348,5,0.503830553742987,0.233247557411752,5,34,34,1.81177573531335,1.43567239400205,0.301422962292966,4,1.43573070210969,0.301387380484777,4,34,"por","3","PUD"
70473.6416195946,47879.1840012311,47881.1837390721,46749.904347487,46751.2746403809,48290.7052428088,47201.2670373259,47203.2201792916,"-",0.440448220016751,0.440448214616475,32,0.528660239748366,0.260548717328825,5,0.528744588223693,0.260218112939553,5,32,32,1.91599582240861,1.56373268762012,0.332149527049144,4,1.56376839473113,0.332128926063505,4,32,"rus","3","PUD"
101194.173472508,67352.9925382451,67354.9892256388,65377.3138874995,65376.2454501636,67933.6576796566,66641.1187235822,66642.8362266212,"-",0.399240915769562,0.399240769242072,32,0.509502819417415,0.231243137207885,5,0.509756516449841,0.230442475063673,5,32,32,1.81570073771363,1.46037786547509,0.300046780681475,4,1.4604927774203,0.299975440819421,4,32,"spa","4","PUD"
75638.7414713019,53806.6749645019,53808.6715355159,53135.1345616865,53136.0108856391,55622.7276796455,53632.9159444098,53634.8872869698,"-",0.404258523350542,0.404258249869418,31,0.46183589362661,0.257124626823284,6,0.461962516010993,0.256519376268036,6,31,31,1.79122397155024,1.21426528157996,0.358034244548645,3,1.21428248733035,0.358025637479778,3,31,"swe","3","PUD"
108080.665619629,69552.7600236322,69554.7599369642,65716.5166820317,65718.283645051,66241.9675808942,65519.46561309,65520.6923427876,"-",0.409229751551587,0.409229752955089,38,0.653396103596418,0.258065853405691,3,0.653421994173803,0.258018476451223,3,38,38,1.93320946428418,1.77009638421067,0.230142674880847,7,1.77034906773979,0.229850418235113,7,38,"tha","6","PUD"
62863.7233080676,51438.9076816634,51440.8907372289,47361.9807861745,47357.6771380524,47697.0937750146,47250.4420623875,47244.9351815135,"-",0.343303746476053,0.343301728802238,34,0.669892355930809,0.200515152147115,3,0.670510489275267,0.199559391496694,3,34,34,1.79661229176714,1.81158267053972,0.195473609688522,4,1.81456126809137,0.194227082247253,4,34,"tur","7","PUD"
